,QF_MERCHANT_PRID,QF_MERCHANT_PERSONNEL_PRID,QF_MERCHANT_SERVICE_PRID,ratingCount,bookingCount,SERVICE_VIEW_COUNT,SERVICE_OFFER_PRICE,SERVICE_UPDATED_ON_DATE,combined_vectors,Transformed_Formatted_Name,SERVICE_NAME,Transformed_Sub_Category,SERVICE_NAME_1,SERVICE_NAME_2,SERVICE_NAME_3,SERVICE_NAME_4,SERVICE_NAME_5
0,724.0,723,594,3,5,0.0,50.0,2022-10-29 06:43:53,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.77504706 -0.43565168  0.43714663  0.51765862  0.14036227  0.21658098
  2.37562363  1.83008172  0.22512335  0.1696747  -0.65895974 -0.99748057
  1.12229147  0.03730959  0.70919327 -0.12713538 -0.25101891 -0.19098701]",Hair - Wash & Blow Dry - Men,Wash & Blow Dry - Men,Hair,Hair,Wash & Blow Dry,Men,,
1,725.0,724,595,0,0,0.0,2790.0,2022-10-31 07:10:37,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
  1.11644505 -0.07078174 -0.27899118  0.179194    0.30756564  0.15982236
  2.04161946  0.09277094  1.10759533  0.18377111 -0.22923485  0.4628903
  0.          0.          0.          0.          0.          0.        ]",Facial - Anti-Ageing,Anti - Ageing Facial,Face,Facial,Anti-Ageing,,,
2,725.0,724,596,0,0,0.0,1110.0,2022-10-31 07:12:29,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
  1.11644505 -0.07078174 -0.27899118  0.179194    0.30756564  0.15982236
 -0.72569198  0.05908805  0.38247621  0.62887174 -0.09449366 -0.16449891
  0.          0.          0.          0.          0.          0.        ]",Facial - Herbal,Herbal Facial,Face,Facial,Herbal,,,
3,725.0,724,597,0,0,0.0,465.0,2022-10-31 07:13:00,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.48039935 -0.24442957  0.39085683  0.40395909 -0.19931581 -0.23871176
 -0.99484654 -0.014959    0.67028006  0.45520484  0.11256947 -0.16682526
 -0.11059702  0.32150015 -0.72232308 -0.07735605  0.16649532  0.4516471
  0.          0.          0.          0.          0.          0.        ]",Bleach - Full Arms,Bleach - Full Arms,arms,Bleach,Full Arms,,,
4,725.0,724,598,0,0,0.0,360.0,2022-10-31 07:13:19,"[-1.45080632 -0.80875503 -1.19915392 -0.16241798 -0.01560754 -0.02898695
 -0.78280591  0.12585485  0.16233719  0.03257952 -0.50200341  0.03477976
 -0.99484654 -0.014959    0.67028006  0.45520484  0.11256947 -0.16682526
  0.90233653 -0.235161   -1.28095375 -0.43629054  0.15863619 -0.20066541
  0.          0.          0.          0.          0.          0.        ]",Bleach - Face & Neck,Bleach - Face & Neck,Face,Bleach,Face & Neck,,,
5,725.0,724,599,0,0,0.0,900.0,2022-10-31 07:14:21,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
 -0.37152913 -0.67940062  0.65306028  0.35935363 -0.07419304  0.22697829
 -0.33447719 -0.12406896 -0.77530287  0.15695226 -0.50797369  0.36095134
  0.          0.          0.          0.          0.          0.        ]",Hair Cut - Women,Hair Cut - Women,Hair,Hair Cut,Women,,,
6,725.0,724,600,0,0,0.0,600.0,2022-10-31 07:15:09,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
 -0.37152913 -0.67940062  0.65306028  0.35935363 -0.07419304  0.22697829
 -0.55232859  0.18455997 -0.73688192  0.04115531 -0.17771172  0.26795059
  0.          0.          0.          0.          0.          0.        ]",Hair Cut - Men,Hair Cut - Men,Hair,Hair Cut,Men,,,
7,725.0,724,601,0,0,0.0,1650.0,2022-10-31 07:15:56,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.77504706 -0.43565168  0.43714663  0.51765862  0.14036227  0.21658098
 -0.24910689 -0.83100139 -0.01719111 -0.44904392  0.0248623  -0.07123326
  0.07565366  1.05902483  0.36425505  0.9760281  -0.11195728  0.04041848]",Hair - Global - Upto Shoulder,Global - Upto Shoulder,Hair,Hair,Global,Upto Shoulder,,
8,725.0,724,602,0,0,0.0,2100.0,2023-08-30 04:45:15,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
  0.77504706 -0.43565168  0.43714663  0.51765862  0.14036227  0.21658098
  0.51574082 -0.08041661 -0.38047991 -0.5056135   0.25184331 -0.41039205
  0.          0.          0.          0.          0.          0.        ]",Hair - Root Touch Up,Root Touch Up,Hair,Hair,Root Touch Up,,,
9,725.0,724,603,1,2,0.0,240.0,2022-10-31 07:17:01,"[-0.22748656  1.21591976 -0.07052168  0.20664219  0.18589241 -0.39877277
 -0.11125053 -0.49589062 -0.14218086  0.77928956  0.49581308 -0.21349604
 -0.33731883 -0.14439285  0.51856735  0.32526874  0.19598784 -0.32410089
 -0.70476387  0.59305521  0.70956686 -0.43253547  0.17665921  0.03478749
  0.          0.          0.          0.          0.          0.        ]",Manicure - Basic,Basic Manicure,palm,Manicure,Basic,,,
10,725.0,724,604,0,0,0.0,480.0,2022-10-31 07:17:22,"[-0.22748656  1.21591976 -0.07052168  0.20664219  0.18589241 -0.39877277
 -0.11125053 -0.49589062 -0.14218086  0.77928956  0.49581308 -0.21349604
 -0.33731883 -0.14439285  0.51856735  0.32526874  0.19598784 -0.32410089
 -0.61578133  0.96351201  0.12621359  0.37425352 -0.54337988 -0.07019717
  0.          0.          0.          0.          0.          0.        ]",Manicure - Express,Express Manicure,palm,Manicure,Express,,,
11,725.0,724,605,1,1,0.0,555.0,2023-08-30 04:44:17,"[-0.22748656  1.21591976 -0.07052168  0.20664219  0.18589241 -0.39877277
 -0.43869291 -0.22739113 -0.06495697  0.16735309  0.2957701  -0.30210452
 -1.22741467  0.55549539  0.36503209  1.03430608  0.2442082   0.45006309
 -0.61578133  0.96351201  0.12621359  0.37425352 -0.54337988 -0.07019717
  0.          0.          0.          0.          0.          0.        ]",Pedicure - Express,Express Pedicure,feet,Pedicure,Express,,,
12,726.0,725,606,1,21,44.0,180.0,2023-07-10 10:41:05,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
 -0.37152913 -0.67940062  0.65306028  0.35935363 -0.07419304  0.22697829
 -0.55232859  0.18455997 -0.73688192  0.04115531 -0.17771172  0.26795059
  0.          0.          0.          0.          0.          0.        ]",Hair Cut - Men,Hair Cut - Men,Hair,Hair Cut,Men,,,
13,727.0,726,607,2,5,26.0,200.0,2023-01-11 12:13:24,"[-0.08645878  1.21203727 -0.20181652  0.23759584 -0.34802568  0.33057145
 -0.61714321 -0.4900118  -0.01528379  0.27893114 -0.17740982 -0.43040992
 -0.37152913 -0.67940062  0.65306028  0.35935363 -0.07419304  0.22697829
 -0.55232859  0.18455997 -0.73688192  0.04115531 -0.17771172  0.26795059
  0.          0.          0.          0.          0.          0.        ]",Hair Cut - Men,Hair Cut - Men,Hair,Hair Cut,Men,,,
